High,Low,Open,Close,Volatility,Returns,Date
29387.818359375,28241.21875,29084.478515625,28436.318359375,,,1654905600
31693.291015625,28978.146484375,29910.283203125,29083.8046875,,0.02251433565310142,1654473600
32249.86328125,29303.572265625,29443.365234375,29906.662109375,,0.02789978929692932,1653868800
30590.5859375,28261.90625,30309.396484375,29445.95703125,,-0.015524650396874897,1653264000
31305.341796875,28708.955078125,31304.375,30323.72265625,,0.029373713934318462,1652659200
34222.07421875,26350.490234375,34060.015625,31305.11328125,,0.03185111568441094,1652054400
39902.94921875,33878.96484375,38472.1875,34059.265625,,0.08432066596465827,1651449600
40713.890625,37585.7890625,39472.60546875,38469.09375,,0.12175304538274188,1650844800
42893.58203125,38696.19140625,39721.203125,39469.29296875,,0.025667817214752517,1650240000
42424.58984375,39373.05859375,42201.0390625,39716.953125,,0.006255151013752288,1649635200
47106.140625,42021.20703125,46445.2734375,42207.671875,,0.06082387510665625,1649030400
48086.8359375,44403.140625,46821.8515625,46453.56640625,,0.09585123927512722,1648425600
46827.546875,40668.04296875,41246.1328125,46820.4921875,0.646829060457464,0.007867732562358766,1647820800
42316.5546875,37680.734375,37846.31640625,41247.82421875,1.008109564974209,-0.12672260916454453,1647216000
42465.671875,37260.203125,38429.3046875,37849.6640625,1.1379649639322764,-0.08597626082874457,1646611200
45077.578125,37518.21484375,37706.0,38419.984375,1.1248916473316066,0.01495564630240972,1646006400
40005.34765625,34459.21875,38423.2109375,37709.78515625,1.139285980736268,-0.018658136659066762,1645401600
44667.21875,38112.8125,42157.3984375,38431.37890625,1.1372680754756808,0.018954670925916323,1644796800
45661.171875,41748.15625,42406.78125,42197.515625,1.1503820038080386,0.09348706294552382,1644192000
42500.78515625,36375.5390625,37920.28125,42412.43359375,1.0265623842617109,0.00508021652209728,1643587200
38825.41015625,33184.05859375,36275.734375,37917.6015625,1.1581676241967649,-0.11202613893318637,1642982400
43413.0234375,34349.25,43118.12109375,36276.8046875,1.1716174068926908,-0.044236877747340114,1642377600
44278.421875,39796.5703125,41910.23046875,43113.87890625,1.4091655569308816,0.17266641395481658,1641772800
47510.7265625,40672.27734375,47343.54296875,41911.6015625,1.332008588851226,-0.02828228612471036,1641168000
51956.328125,45819.953125,50802.609375,47345.21875,1.4605615376519463,0.1219031622296929,1640563200
51814.02734375,45579.80859375,46707.0625,50809.515625,1.3404673724657683,0.07061781473099649,1639958400
50205.0,45598.44140625,50114.7421875,46707.015625,1.3373323772878918,-0.08418927158795482,1639353600
51934.78125,46942.34765625,49413.48046875,50098.3359375,1.3586082478904704,0.07009341181094711,1638748800
59113.40234375,42874.6171875,57291.90625,49368.84765625,1.3559853943904017,-0.014668181691706266,1638144000
59367.96875,53569.765625,58706.84765625,57248.45703125,1.4724683573776316,0.14808107962480974,1637539200
66281.5703125,55705.1796875,65521.2890625,58730.4765625,1.441339907708179,0.025558093314065607,1636934400
68789.625,62333.9140625,63344.06640625,65466.83984375,1.4818498437290004,0.10858496855388287,1636329600
64242.79296875,59695.18359375,61320.44921875,63326.98828125,1.3383651691205336,-0.033232159079261366,1635724800
63729.32421875,58206.91796875,60893.92578125,61318.95703125,1.321504156966113,-0.03222254820445937,1635120000
66930.390625,59643.34375,61548.8046875,60930.8359375,1.167003367068309,-0.006349661432588357,1634515200
62757.12890625,54370.97265625,54734.125,61553.6171875,1.1368096503243494,0.010169235377919403,1633910400
56401.3046875,47045.00390625,48208.90625,54771.578125,1.2270199121432415,-0.11673720712560409,1633305600
49130.69140625,40829.66796875,43234.18359375,48199.953125,1.341940688739646,-0.12781336351018543,1632700800
47328.19921875,39787.609375,47261.40625,43208.5390625,1.380560410820755,-0.10931990934469991,1632096000
48791.78125,43591.3203125,46057.21484375,47260.21875,1.4080184647901413,0.08963076119706224,1631491200
52853.765625,43285.20703125,51769.00390625,46063.26953125,1.410668833478151,-0.02565302434654344,1630886400
51868.6796875,46562.4375,48834.8515625,51753.41015625,1.3372197693022585,0.11647445066198679,1630281600
50482.078125,46394.28125,49291.67578125,48829.83203125,1.343512537958492,-0.05814888851377071,1629676800
49717.01953125,43998.31640625,47019.9609375,49321.65234375,1.2038226492814244,0.01002174204432756,1629072000
48098.68359375,42848.6875,43791.92578125,47047.00390625,1.2080844208797723,-0.047215995172259044,1628467200
45282.3515625,37458.00390625,39907.26171875,43798.1171875,1.2269476129961407,-0.07155635520011944,1627862400
42541.6796875,35287.3125,35384.03125,39974.89453125,1.25404090873595,-0.09133920952288506,1627257600
35364.92578125,29360.955078125,31800.01171875,35350.1875,1.2917006559458903,-0.12294792391845376,1626652800
34592.15625,31100.673828125,34254.015625,31796.810546875,1.2790799402572854,-0.10593770894241172,1626048000
35284.34375,32133.18359375,35284.34375,34240.1875,1.3147953821884104,0.07403403982200762,1625443200
36542.109375,32770.6796875,34679.12109375,35287.78125,1.2730533735397636,0.030136736482316667,1624838400
35721.640625,28893.62109375,35641.14453125,34649.64453125,1.1569877439659941,-0.018249297047360127,1624233600
41295.26953125,33432.07421875,39016.96875,35698.296875,1.1848086794881725,0.029815514320058994,1623628800
39322.78125,31114.443359375,35835.265625,39097.859375,1.1209247121734895,0.09096473698520383,1623024000
39478.953125,34241.9453125,35658.59375,35862.37890625,1.1481264753402718,-0.08637891336044642,1622419200
40782.078125,33520.73828125,34700.36328125,35678.12890625,1.1393774509246903,-0.005150939321319059,1621814400
46623.55859375,30681.49609375,46415.8984375,34770.58203125,1.1348834945581403,-0.025766180022242565,1621209600
59519.35546875,43963.3515625,58250.87109375,46456.05859375,1.8060232338669984,0.2897352039969013,1620604800
59464.61328125,52969.0546875,56620.2734375,58232.31640625,1.9941077280037722,0.2259335760041214,1620000000
58448.33984375,48852.796875,49077.79296875,56631.078125,1.8692716900194717,-0.027882547348656472,1619395200
57520.0546875,47159.484375,56191.5859375,49004.25390625,1.9450490296144975,-0.14465080924278828,1618790400
64863.09765625,52829.53515625,60175.9453125,56216.18359375,1.9943367339201594,0.13729757099174641,1618185600
61276.6640625,55604.0234375,58760.875,60204.96484375,1.9971701656019334,0.06855014165416305,1617580800
60267.1875,55139.33984375,55947.8984375,58758.5546875,2.00172805925089,-0.02431806727560712,1616976000
58471.48046875,50856.5703125,57517.890625,55950.74609375,2.0465810172068264,-0.048964984448080784,1616371200
60540.9921875,53555.02734375,59267.4296875,57523.421875,2.029140523364986,0.027720432142690012,1615766400
61683.86328125,49506.0546875,51174.1171875,59302.31640625,1.941499454666611,0.03045616592010968,1615161600
49396.43,46542.51,48527.03,48927.3,2.215544356956428,-0.19231284483287972,1614902400
48370.79,44454.84,47180.46,46339.76,2.2347151678909656,-0.054335183027981196,1614297600
56113.65,50937.28,51675.98,55888.13,1.9917854838448084,0.18735167426260446,1613692800
48745.73,46424.98,47877.03,47504.85,1.8409158315526748,-0.16252020305113782,1613088000
38225.91,36658.76,36931.55,38144.31,2.062881683718715,-0.21945521258419057,1612483200
38406.26,32064.81,34318.67,34316.39,2.0219168640321805,-0.10575351590008598,1611878400
33811.85,28953.37,30817.63,33005.76,1.8417363315623967,-0.038940990917349025,1611273600
39577.71,34659.59,39156.71,36825.37,1.9076478813257303,0.10950491813054158,1610668800
41946.74,36838.64,39381.77,40797.61,2.0182158962178307,0.10243649144267829,1610064000
29600.63,28803.59,28994.01,29374.15,2.439672216213558,-0.3285084653875089,1609459200
24710.1,23463.67,23733.57,24664.79,2.4612059487610396,-0.17473831531478456,1608854400
23238.6,22399.81,22806.8,23137.96,2.4099269237121534,-0.06390216171335135,1608249600
18268.45,17619.53,18263.93,18058.9,2.4823774956794216,-0.24783592079761252,1607644800
19511.4,18697.19,19446.97,18699.77,2.539038545582423,0.03487258626995836,1607040000
17445.02,16526.42,17153.91,17108.4,2.172725645946606,-0.08894165335388267,1606435200
18773.23,17765.8,17817.08,18621.31,2.2980429908975255,0.08473705286595616,1605830400
16463.18,15992.15,16276.44,16317.81,2.207966487229452,-0.132049474476686,1605225600
15903.44,15226.84,15579.73,15565.88,2.203010269906289,-0.04717580995716571,1604620800
13651.52,13136.2,13437.87,13546.52,2.222580301834769,-0.13895165162602988,1604016000
13015.96,12752.65,12971.55,12931.54,2.0341674457243997,-0.04646039921870763,1603411200
11540.06,11223.01,11502.83,11322.12,1.8044393945717587,-0.13291095416071658,1602806400
11102.67,10846.85,10927.91,11064.46,1.4535682438216604,-0.0230201646108001,1602201600
10657.84,10416.69,10619.82,10575.98,1.3824281039929533,-0.04515277774821679,1601596800
10777.7,10578.91,10761.11,10692.72,1.4323815764447676,0.010977744043359671,1600992000
11034.91,10829.66,10951.82,10944.59,1.1470554136716518,0.02328213416900016,1600387200
10434.92,10140.84,10369.03,10400.91,1.0812871295489694,-0.050951967926346896,1599782400
10663.92,10207.94,10230.37,10511.81,1.092970084657215,0.010606084678051504,1599177600
11545.62,11316.42,11325.3,11542.5,1.1165741954541533,0.09353648840153025,1598572800
11899.26,11564.98,11878.03,11592.49,1.030158044907054,0.004321599257401436,1597968000
12150.99,11685.46,11772.66,11768.87,1.0437228672005532,0.015100435209888128,1597363200
11898.04,11408.59,11778.89,11601.47,0.8689915390186186,-0.014326095644871863,1596758400
11415.86,10987.05,11110.21,11323.47,0.8552032354468178,-0.024254251316812917,1596153600
9623.34,9481.45,9585.51,9536.89,0.989742490712753,-0.1717101263997288,1595548800
9182.25,9089.2,9131.81,9151.39,0.9969287175205084,-0.04126165618669288,1594944000
9287.47,9118.0,9273.36,9278.81,0.9938054776308599,0.013827525498775197,1594339200
9202.34,9058.79,9124.84,9087.3,0.9884401126646934,-0.020855471452607677,1593734400
9310.52,9101.74,9260.99,9162.92,0.9779700775517636,0.00828707081557194,1593129600
9440.88,9274.3,9410.29,9288.02,0.9679797065037229,0.013560492529449224,1592524800
9540.47,9285.85,9320.69,9480.84,0.9737488877644357,0.020547522227067322,1591920000
9869.24,9663.22,9800.22,9665.53,0.8464606214173669,0.01929302826122184,1591315200
9573.67,9379.34,9528.36,9439.12,0.8416945265185124,-0.023703192724527294,1590710400
9232.94,9008.64,9080.33,9182.58,0.8268484679162914,-0.027554544575066665,1590105600
9755.83,9261.4,9734.29,9328.2,0.843447692520173,0.01573385930353919,1589500800
9996.74,9767.17,9936.16,9842.67,0.9040224785339489,0.05368494551952672,1588896000
9048.02,8667.76,8672.78,8864.77,0.6480371964913083,-0.1046420212579911,1588291200
7574.2,7434.18,7434.18,7550.9,0.9540105690088353,-0.16041823300858912,1587686400
7167.18,7050.33,7116.55,7096.18,0.9630079514359414,-0.062110150365395266,1587081600
7303.82,6802.47,7303.82,6865.49,0.9641954372032192,-0.03304919786870877,1586476800
7003.22,6673.34,6797.4,6733.39,0.9516358412022793,-0.019428681675234896,1585872000
6793.84,6466.7,6719.39,6469.8,0.9324919694091984,-0.039933535411275936,1585267200
6844.26,5865.78,6191.65,6198.78,0.8981731983718928,-0.04279269763902892,1584662400
5838.11,4106.98,5017.83,5563.71,0.9100497402094838,-0.10808734656847402,1584057600
9167.7,9032.08,9078.31,9122.55,2.6451932910178577,0.49448421834068934,1583452800
8890.46,8492.93,8788.73,8672.46,2.652223053396582,-0.05059688269619618,1582848000
9723.01,9589.74,9611.78,9686.44,2.704116159541041,0.1105744817669574,1582243200
10322.0,10125.53,10211.55,10312.12,2.708235632835202,0.06259293315913639,1581638400
9834.72,9726.0,9726.0,9795.94,2.6700555429359016,-0.051351888374823865,1581033600
9521.71,9230.78,9508.31,9350.53,2.5536389749397346,-0.04653498793613585,1580428800
8514.67,8266.84,8405.57,8445.43,2.5883462693781283,-0.10180755951978523,1579824000
8958.12,8677.32,8725.21,8929.04,2.5829327611051434,0.05568341964373166,1579219200
8166.55,7726.77,7878.31,8166.55,2.627963272482675,-0.0892623432437715,1578614400
7413.72,6915.0,6984.43,7344.88,2.677244640761441,-0.10604307121852051,1578009600
7363.53,7189.93,7238.14,7290.09,2.6659879053753452,-0.0074875802243517565,1577404800
7257.92,7086.12,7208.64,7218.82,2.600535288204855,-0.00982438697862322,1576800000
7293.56,7227.12,7244.66,7269.68,1.092418088212982,0.007020769425734776,1576195200
7547.0,7392.18,7450.56,7547.0,1.10831273575353,0.037437859232247926,1575590400
7781.18,7460.76,7466.73,7761.24,0.9536012458461177,0.02799198194115725,1574985600
7697.38,6936.71,7643.57,7296.58,0.8787584134384685,-0.06173637001743226,1574380800
8730.87,8484.84,8705.71,8491.99,1.1952458678526825,0.15171762103496203,1573776000
9272.76,8775.53,9265.37,8804.88,1.200436463240072,0.03618274697377824,1573171200
9275.66,9132.05,9193.99,9261.1,1.1192571275244518,0.050516718864619316,1572566400
8691.54,7479.98,7490.7,8660.7,1.13977047638139,-0.06702728138337836,1571961600
8138.41,7902.16,8100.93,7973.21,1.1286884865929239,-0.0827083786491753,1571356800
8721.78,8316.18,8585.26,8321.76,1.0146869869745905,0.04278659885628798,1570752000
8260.06,8151.24,8259.49,8205.94,1.01776050168442,-0.014015488653415972,1570147200
8271.52,7965.92,8113.1,8251.85,1.0133732185957585,0.005579135362123404,1569542400
10285.87,10132.19,10266.32,10181.64,1.3619899394488206,0.21014868071133938,1568937600
10441.49,10226.6,10415.36,10360.55,1.3619260172604155,0.017419225881667867,1568332800
10898.76,10292.3,10578.2,10353.3,1.3674953467392843,-0.0007000147530328111,1567728000
9656.12,9428.3,9514.84,9598.17,1.388937849792149,-0.07573285416969634,1567123200
10442.44,10078.19,10136.31,10407.97,1.2714587867600455,0.08099940350535874,1566518400
10524.35,9855.48,10319.42,10374.34,1.270633494571792,-0.0032364091724494484,1565913600
11970.46,11709.75,11953.47,11862.94,1.3792199252523354,0.13408380528816963,1565308800
10657.95,10371.01,10402.04,10518.17,1.4750951284835259,-0.12031501711849142,1564704000
9916.52,9717.98,9913.13,9870.3,1.4480634196373963,-0.06357398968487808,1564099200
10716.98,10229.63,10653.96,10530.73,1.460209443958832,0.06476740135871331,1563494400
11905.49,11179.14,11354.3,11815.99,1.511139350893139,0.11515604943967389,1562889600
11395.66,10874.96,11203.1,10978.46,1.5826620514970917,-0.07351852768300911,1562284800
12445.18,10914.49,11162.17,12407.33,1.3845712788079982,0.12235225575968237,1561680000
10144.56,9525.07,9525.07,10144.56,1.7066435042022003,-0.20134982577685973,1561075200
8710.64,8183.39,8230.9,8693.83,1.8441281870504067,-0.15432402255822802,1560470400
8126.15,7788.37,7826.9,8043.95,1.845639334126854,-0.07769332258215907,1559865600
8586.66,8172.55,8320.29,8574.5,1.8268634754394948,0.06387242623600567,1559260800
8140.72,7824.45,7881.7,7987.37,1.8421770305607725,-0.07093113817321768,1558656000
7929.15,7038.12,7886.93,7343.9,1.6837021256456177,-0.08399150747309803,1558051200
6434.62,6161.52,6175.82,6378.85,1.708641681622578,-0.1408822063418743,1557446400
5865.88,5490.2,5505.55,5768.29,1.727838379973099,-0.10061215421458194,1556841600
5383.63,5177.37,5210.3,5279.35,1.6461070412039973,-0.08857269203190148,1556236800
5336.68,5233.34,5298.15,5303.81,1.44624449509971,0.004622446141430231,1555632000
5103.27,4955.85,5061.2,5089.54,1.4503442486954765,-0.04123797702324407,1555027200
5053.51,4919.49,4922.81,5036.68,1.1574130007210692,-0.010440318331068232,1554422400
4113.5,4034.1,4068.3,4098.37,1.1695708487778127,-0.2061578011801731,1553817600
4053.91,4021.54,4028.51,4023.97,1.1248673433904992,-0.018320356185078285,1553212800
3968.54,3914.02,3926.66,3960.91,1.1434616521933063,-0.015795180654582058,1552608000
3950.43,3875.23,3913.23,3901.13,0.996740943030355,-0.015207542088898825,1552003200
3907.8,3851.69,3853.76,3859.58,1.0271421006450003,-0.010707885491244276,1551398400
4006.54,3950.82,3952.41,4005.53,1.1105334898905488,0.037117537080114386,1550793600
3647.8,3608.21,3617.37,3620.81,1.0495258915489667,-0.10097814863273281,1550188800
3695.61,3391.02,3401.38,3666.78,1.0457499446621084,0.012616135029579638,1549584000
3501.95,3431.59,3460.55,3487.95,1.0173624001525587,-0.049999721661891136,1548979200
3612.93,3575.6,3607.39,3599.77,1.0481357484282523,0.031555783450590826,1548374400
3682.52,3637.08,3677.99,3657.84,1.0695532775990522,0.016002854731373386,1547769600
3713.88,3653.07,3674.02,3687.37,1.079622354518045,0.008040657543637978,1547164800
3865.93,3783.85,3832.04,3857.72,0.6459886092611384,0.04516286857804405,1546560000
3956.14,3642.63,3653.13,3923.92,0.6496345062418284,0.01701481875020595,1545955200
4198.43,3850.95,4133.7,3896.54,0.6466300293941887,-0.0070021742636722974,1545350400
3329.56,3206.54,3311.75,3242.48,1.059039840689457,-0.18375051076252824,1544745600
3512.59,3280.23,3512.59,3419.94,1.1051468676968708,0.05328453795171525,1544140800
4322.98,3942.82,4289.09,4017.27,1.3458707407355242,0.16097956039645228,1543536000
4396.42,4195.68,4360.7,4347.11,1.2871021296661822,0.07890868903698561,1542931200
5657.02,5498.94,5645.32,5575.55,1.673474865645969,0.24887971069423978,1542326400
6456.46,6373.37,6442.6,6385.62,1.673907223961492,0.13565762016588648,1541721600
6396.86,6327.38,6378.92,6388.44,1.6879431106112988,0.0004415197745760157,1541116800
6498.29,6449.61,6468.44,6474.75,1.6890989723795558,0.013419889672495211,1540512000
6493.68,6445.31,6478.07,6465.41,1.6947356476333162,-0.0014435681818401411,1539907200
6328.5,6236.47,6239.25,6274.58,1.7309715127432064,-0.029959878112897725,1539302400
6623.62,6557.41,6574.15,6622.48,1.7277477720599053,0.05396337164511058,1538697600
6785.03,6598.32,6678.75,6644.13,1.7214868068395255,0.0032638359338381055,1538092800
6794.33,6496.36,6513.87,6734.95,1.3106603755340693,0.013576627843980497,1537488000
6596.1,6456.17,6515.41,6512.71,1.380778909588217,-0.03355473368880943,1536883200
